Kode,Nama,Kategori,Harga,Stok
T001,Beras 5 Kg,Komoditas,80000,5
T002,Telur 1 Lusin,Komoditas,20000,8
T003,Air Putih 1 Liter,Minuman,10000,10
T004,Tepung Terigu 1 Kg,Komoditas,12000,10
T005,Gula 1 Kg,Komoditas,20000,10
T006,Teh Botolan 300ml,Minuman,3000,20
T007,Roti Tawar,Komoditas,20000,10
T008,Minyak Sawit 1 Liter,Komoditas,14000,15
T009,Mi Instan,Komoditas,3000,20
T010,Kopi 200gr,Komoditas,20000,15
T011,Keripik Kentang,Snack,5000,16
T012,Garam,Komoditas,3000,12
T013,Masako,Komoditas,1000,100
